country,iso3,region_un,unit,nh3_urea,nh3_total,share_nh3_from_urea
Zimbabwe,ZWE,Africa,kt/year,2.919660999889594,100.40280694546496,0.029079475850465462
Zambia,ZMB,Africa,kt/year,33.624942716040756,93.28714125274928,0.36044563339054825
Yemen,YEM,Asia,kt/year,0.701664543705037,80.38498034392258,0.008728801583368
Vietnam,VNM,Asia,kt/year,29.671419450947297,141.93836629707678,0.2090443917668114
Venezuela,VEN,Americas,kt/year,48.88431002445889,282.04137380549514,0.17332318788863613
Vatican City,VAT,Europe,kt/year,8.126374964393715,27.758411721795863,0.2927536000920722
Vanuatu,VUT,Oceania,kt/year,0,0,NA
Uzbekistan,UZB,Asia,kt/year,0.12799521767504843,77.44402053639621,0.0016527449994011452
Uruguay,URY,Americas,kt/year,14.986488754816131,138.51698724376072,0.10819242500880465
Micronesia (Federated States of),FSM,Oceania,kt/year,0,0,NA
Marshall Islands,MHL,Oceania,kt/year,0,0,NA
Northern Mariana Islands,MNP,Oceania,kt/year,0,0,NA
U.S. Virgin Islands,VIR,Americas,kt/year,0.026958759609534307,3.75260143043163,0.00718401890243736
Guam,GUM,Oceania,kt/year,0,0,NA
American Samoa,ASM,Oceania,kt/year,0,0,NA
Puerto Rico,PRI,Americas,kt/year,0.5665260342968926,15.96467550336551,0.035486222953762095
United States,USA,Americas,kt/year,371.05195659765434,2963.2457228114345,0.12521808560837536
South Georgia & South Sandwich Islands,SGS,Americas,kt/year,0,0,NA
British Indian Ocean Territory,IOT,Africa,kt/year,0,0,NA
St. Helena,SHN,Africa,kt/year,0,0,NA
Pitcairn Islands,PCN,Oceania,kt/year,0,0,NA
Anguilla,AIA,Americas,kt/year,0,0,NA
Falkland Islands,FLK,Americas,kt/year,0,0.3739352372878774,0
Cayman Islands,CYM,Americas,kt/year,0,0,NA
Bermuda,BMU,Americas,kt/year,0,0,NA
British Virgin Islands,VGB,Americas,kt/year,0.026958759609534307,3.75260143043163,0.00718401890243736
Turks & Caicos Islands,TCA,Americas,kt/year,0,0,NA
Montserrat,MSR,Americas,kt/year,0,0,NA
Jersey,JEY,Europe,kt/year,0.7085468561619711,26.301946431601188,0.02693895138158552
Guernsey,GGY,Europe,kt/year,0.7085468561619711,26.301946431601188,0.02693895138158552
