country,population
Afghanistan,41128771
Albania,2842321
Algeria,44903225
American Samoa,44273
Andorra,79824
Angola,35588987
Anguilla,15857
Antigua & Barbuda,93763
Argentina,45510318
Armenia,2780469
Aruba,106445
Australia,26177413
Austria,8939617
Azerbaijan,10358074
Bahamas,409984
Bahrain,1472233
Bangladesh,171186372
Barbados,281635
Belarus,9534954
Belgium,11655930
Belize,405272
Benin,13352864
Bermuda,64184
Bhutan,782455
Bolivia,12224110
Caribbean Netherlands,27026
Bosnia & Herzegovina,3233526
Botswana,2630296
Brazil,215313498
British Virgin Islands,31305
Brunei,449002
Bulgaria,6781953
Burkina Faso,22673762
Burundi,12889576
Cape Verde,593149
Cambodia,16767842
Cameroon,27914536
Canada,38454327
Cayman Islands,68706
Central African Republic,5579144
Chad,17723315
Chile,19603733
China,1457964764
Hong Kong SAR China,7488865
Macao SAR China,695168
China,1425887337
Taiwan,23893394
Colombia,51874024
Comoros,836774
Congo - Brazzaville,5970424
Cook Islands,17011
Costa Rica,5180829
Côte d’Ivoire,28160542
Croatia,4030358
Cuba,11212191
Curaçao,191163
Cyprus,1251488
Czechia,10493986
North Korea,26069416
Congo - Kinshasa,99010212
Denmark,5882261
Djibouti,1120849
Dominica,72737
Dominican Republic,11228821
Ecuador,18001000
Egypt,110990103
El Salvador,6336392
Equatorial Guinea,1674908
Eritrea,3684032
Estonia,1326062
Eswatini,1201670
Ethiopia,123379924
Falkland Islands,3780
Faroe Islands,53090
Fiji,929766
Finland,5540745
France,64626628
French Guiana,304557
French Polynesia,306279
Gabon,2388992
Gambia,2705992
Georgia,3744385
Germany,83369843
Ghana,33475870.000000004
Gibraltar,32649
Greece,10384971
Greenland,56466
Grenada,125438
Guadeloupe,395752
Guam,171774
Guatemala,17843908
Guinea,13859341
Guinea-Bissau,2105566
Guyana,808726
Haiti,11584996
Vatican City,510
Honduras,10432860
Hungary,9967308
Iceland,372899
India,1417173173
Indonesia,275501339
Iran,88550570
Iraq,44496122
Ireland,5023109
Isle of Man,84519
Israel,9038309
Italy,59037474
Jamaica,2827377
Japan,123951692
Jordan,11285869
Kazakhstan,19397998
Kenya,54027487
Kiribati,131232
Kuwait,4268873
Kyrgyzstan,6630623
Laos,7529475
Latvia,1850651
Lebanon,5489739
Lesotho,2305825
Liberia,5302681
Libya,6812341
Liechtenstein,39327
Lithuania,2750055
Luxembourg,647599
Madagascar,29611714
Malawi,20405317
Malaysia,33938221
Maldives,523787.00000000006
Mali,22593590
Malta,533286
Marshall Islands,41569
Martinique,367507
Mauritania,4736139
Mauritius,1299469
Mayotte,326101
Mexico,127504125
Micronesia (Federated States of),114164
Monaco,36469
Mongolia,3398366
Montenegro,627082
Montserrat,4390
Morocco,37457971
Mozambique,32969517.999999996
Myanmar (Burma),54179306
Namibia,2567012
Nauru,12668
Nepal,30547580
Netherlands,17564014
New Caledonia,289950
New Zealand,5185288
Nicaragua,6948392
Niger,26207977
Nigeria,218541212
Niue,1934
North Macedonia,2093599.0000000002
Northern Mariana Islands,49551
Norway,5434319
Oman,4576298
Pakistan,235824862
Palau,18055
Palestinian Territories,5250072
Panama,4408581
Papua New Guinea,10142619
Paraguay,6780744
Peru,34049588
Philippines,115559009
Poland,39857145
Portugal,10270865
Puerto Rico,3252407
Qatar,2695122
South Korea,51815810
Moldova,3272996
Réunion,974052
Romania,19659267
Russia,144713314
Rwanda,13776698
St. Barthélemy,10967
St. Helena,5374
St. Kitts & Nevis,47657
St. Lucia,179857
Saint Martin (French part),31791
St. Pierre & Miquelon,5862
St. Vincent & Grenadines,103948
Samoa,222382
San Marino,33660
São Tomé & Príncipe,227380
Saudi Arabia,36408820
Senegal,17316449
Serbia,7221365
Seychelles,107118
Sierra Leone,8605718
Singapore,5975689
Sint Maarten,44175
Slovakia,5643453
Slovenia,2119844
Solomon Islands,724273
Somalia,17597511
South Africa,59893885
South Sudan,10913164
Spain,47558630
Sri Lanka,21832143
Sudan,46874204
Suriname,618040
Sweden,10549347
Switzerland,8740472
Syria,22125249
Tajikistan,9952787
Thailand,71697030
Timor-Leste,1341296
Togo,8848699
Tokelau,1871
Tonga,106858
Trinidad & Tobago,1531044
Tunisia,12356117
Turkey,85341241
Turkmenistan,6430770
Turks & Caicos Islands,45703
Tuvalu,11312
Uganda,47249585
Ukraine,39701739
United Arab Emirates,9441129
United Kingdom,67508936
Tanzania,65497748
United States,338289857
U.S. Virgin Islands,99465
Uruguay,3422794
Uzbekistan,34627652
Vanuatu,326740
Venezuela,28301696
Vietnam,98186856
Wallis & Futuna,11572
Western Sahara,575986
Yemen,33696614
Zambia,20017675
Zimbabwe,16320537
