country,n_regulations
Colombia,23
Ecuador,21
Serbia,18
Viet Nam,16
Costa Rica,14
Turkey,12
Guatemala,11
Syrian Arab Republic,11
Argentina,10
Georgia,10
Panama,10
Rwanda,10
Denmark,8
Albania,7
Brazil,7
China,7
Lebanon,7
Montenegro,7
Belarus,6
Croatia,6
Czech Republic,6
Finland,6
France,6
Indonesia,6
Jordan,6
Peru,6
Slovakia,6
"Venezuela, Boliv. Rep. of",6
Burkina Faso,5
Burundi,5
El Salvador,5
Germany,5
Honduras,5
"Iran, Islamic Republic of",5
Kyrgyzstan,5
Estonia,4
Malawi,4
Mali,4
Mexico,4
Netherlands,4
Paraguay,4
Philippines,4
Sri Lanka,4
United Arab Emirates,4
Algeria,3
Cambodia,3
Cameroon,3
Chile,3
Ethiopia,3
Israel,3
Japan,3
Nicaragua,3
Nigeria,3
Norway,3
Russian Federation,3
South Africa,3
Spain,3
Switzerland,3
Uganda,3
Uzbekistan,3
NA,3
Austria,2
Bahrain,2
Cyprus,2
Egypt,2
European Union,2
Greece,2
India,2
Iraq,2
Kazakhstan,2
Kenya,2
Latvia,2
Luxembourg,2
Madagascar,2
"Moldova, Republic of",2
Mozambique,2
Nepal,2
Oman,2
Pakistan,2
Poland,2
Saudi Arabia,2
Senegal,2
Sudan,2
"Tanzania, Un. Rep. of",2
Togo,2
Tunisia,2
Yemen,2
Zambia,2
Afghanistan,1
Angola,1
Australia,1
Azerbaijan,1
Azerbaijan; Italy,1
Bangladesh,1
Barbados,1
Belarus; Pakistan,1
Belgium,1
Belize,1
Benin,1
Bolivia (Plurinational State of),1
Bosnia and Herzegovina,1
Botswana,1
Cabo Verde,1
Canada,1
Central African Republic,1
"Congo, Dem. Rep. of",1
Cook Islands,1
Dominican Republic,1
Gambia,1
Ghana,1
Italy,1
Jamaica,1
Jordan; Israel,1
"Korea, Republic of",1
Kuwait,1
"Lao, People's Dem. Rep.",1
Lebanon; Yemen,1
Lesotho,1
Mauritius,1
Myanmar,1
Namibia,1
New Zealand,1
Portugal,1
Seychelles,1
Sweden,1
Syrian Arab Republic; Jordan,1
The former Yugoslav Republic of Macedonia,1
Trinidad and Tobago,1
Ukraine,1
United Kingdom,1
Uruguay,1
Zimbabwe,1
